"team_1","score_1","team_2","score_2","game","date","notes","competition"
"Brazil",3,"Croatia",1,"Group Stage","June 12",NA,"2014 FIFA Men's World Cup"
"Mexico",1,"Cameroon",0,"Group Stage","June 13",NA,"2014 FIFA Men's World Cup"
"Netherlands",5,"Spain",1,"Group Stage","June 13",NA,"2014 FIFA Men's World Cup"
"Chile",3,"Australia",1,"Group Stage","June 13",NA,"2014 FIFA Men's World Cup"
"Colombia",3,"Greece",0,"Group Stage","June 14",NA,"2014 FIFA Men's World Cup"
"Uruguay",1,"Costa Rica",3,"Group Stage","June 14",NA,"2014 FIFA Men's World Cup"
"Italy",2,"England",1,"Group Stage","June 14",NA,"2014 FIFA Men's World Cup"
"Ivory Coast",2,"Japan",1,"Group Stage","June 14",NA,"2014 FIFA Men's World Cup"
"Switzerland",2,"Ecuador",1,"Group Stage","June 15",NA,"2014 FIFA Men's World Cup"
"France",3,"Honduras",0,"Group Stage","June 15",NA,"2014 FIFA Men's World Cup"
"Argentina",2,"Bosnia-Herzegovina",1,"Group Stage","June 15",NA,"2014 FIFA Men's World Cup"
"Germany",4,"Portugal",0,"Group Stage","June 16",NA,"2014 FIFA Men's World Cup"
"Iran",0,"Nigeria",0,"Group Stage","June 16",NA,"2014 FIFA Men's World Cup"
"United States",2,"Ghana",1,"Group Stage","June 16",NA,"2014 FIFA Men's World Cup"
"Belgium",2,"Algeria",1,"Group Stage","June 17",NA,"2014 FIFA Men's World Cup"
"Brazil",0,"Mexico",0,"Group Stage","June 17",NA,"2014 FIFA Men's World Cup"
"Russia",1,"South Korea",1,"Group Stage","June 17",NA,"2014 FIFA Men's World Cup"
"Netherlands",3,"Australia",2,"Group Stage","June 17",NA,"2014 FIFA Men's World Cup"
"Chile",2,"Spain",0,"Group Stage","June 17",NA,"2014 FIFA Men's World Cup"
"Croatia",4,"Cameroon",0,"Group Stage","June 17",NA,"2014 FIFA Men's World Cup"
"Colombia",2,"Ivory Coast",1,"Group Stage","June 19",NA,"2014 FIFA Men's World Cup"
"Uruguay",2,"England",1,"Group Stage","June 19",NA,"2014 FIFA Men's World Cup"
"Japan",0,"Greece",0,"Group Stage","June 19",NA,"2014 FIFA Men's World Cup"
"Costa Rica",1,"Italy",0,"Group Stage","June 20",NA,"2014 FIFA Men's World Cup"
"France",5,"Switzerland",2,"Group Stage","June 20",NA,"2014 FIFA Men's World Cup"
"Ecuador",2,"Honduras",1,"Group Stage","June 20",NA,"2014 FIFA Men's World Cup"
"Argentina",1,"Iran",0,"Group Stage","June 21",NA,"2014 FIFA Men's World Cup"
"Germany",2,"Ghana",2,"Group Stage","June 21",NA,"2014 FIFA Men's World Cup"
"Nigeria",1,"Bosnia-Herzegovina",0,"Group Stage","June 21",NA,"2014 FIFA Men's World Cup"
"Belgium",1,"Russia",0,"Group Stage","June 22",NA,"2014 FIFA Men's World Cup"
"Algeria",4,"South Korea",2,"Group Stage","June 22",NA,"2014 FIFA Men's World Cup"
"United States",2,"Portugal",2,"Group Stage","June 22",NA,"2014 FIFA Men's World Cup"
"Netherlands",2,"Chile",0,"Group Stage","June 23",NA,"2014 FIFA Men's World Cup"
"Spain",3,"Australia",0,"Group Stage","June 23",NA,"2014 FIFA Men's World Cup"
"Mexico",3,"Croatia",1,"Group Stage","June 23",NA,"2014 FIFA Men's World Cup"
"Brazil",4,"Cameroon",1,"Group Stage","June 23",NA,"2014 FIFA Men's World Cup"
"Uruguay",1,"Italy",0,"Group Stage","June 24",NA,"2014 FIFA Men's World Cup"
"Costa Rica",0,"England",0,"Group Stage","June 24",NA,"2014 FIFA Men's World Cup"
"Colombia",4,"Japan",1,"Group Stage","June 24",NA,"2014 FIFA Men's World Cup"
"Greece",2,"Ivory Coast",1,"Group Stage","June 24",NA,"2014 FIFA Men's World Cup"
"Argentina",3,"Nigeria",2,"Group Stage","June 25",NA,"2014 FIFA Men's World Cup"
"Bosnia-Herzegovina",3,"Iran",1,"Group Stage","June 25",NA,"2014 FIFA Men's World Cup"
"Ecuador",0,"France",0,"Group Stage","June 25",NA,"2014 FIFA Men's World Cup"
"Switzerland",3,"Honduras",0,"Group Stage","June 25",NA,"2014 FIFA Men's World Cup"
"Germany",1,"United States",0,"Group Stage","June 26",NA,"2014 FIFA Men's World Cup"
"Portugal",2,"Ghana",1,"Group Stage","June 26",NA,"2014 FIFA Men's World Cup"
"South Korea",0,"Belgium",1,"Group Stage","June 26",NA,"2014 FIFA Men's World Cup"
"Algeria",1,"Russia",1,"Group Stage","June 26",NA,"2014 FIFA Men's World Cup"
"Brazil",1,"Chile",1,"Round of 16","June 28","Brazilwins 3-2 on penalties","2014 FIFA Men's World Cup"
"Colombia",2,"Uruguay",0,"Round of 16","June 28",NA,"2014 FIFA Men's World Cup"
"Netherlands",2,"Mexico",1,"Round of 16","June 29",NA,"2014 FIFA Men's World Cup"
"Costa Rica",1,"Greece",1,"Round of 16","June 29","CostaRica wins 5-3 on penalties","2014 FIFA Men's World Cup"
"France",2,"Nigeria",0,"Round of 16","June 30",NA,"2014 FIFA Men's World Cup"
"Germany",2,"Algeria",1,"Round of 16","June 30","in extra time","2014 FIFA Men's World Cup"
"Argentina",1,"Switzerland",0,"Round of 16","July 1","in extra time","2014 FIFA Men's World Cup"
"Belgium",2,"United States",1,"Round of 16","July 1","in extra time","2014 FIFA Men's World Cup"
"Germany",1,"France",0,"Quarterfinals","July 4",NA,"2014 FIFA Men's World Cup"
"Brazil",2,"Colombia",1,"Quarterfinals","July 4",NA,"2014 FIFA Men's World Cup"
"Argentina",1,"Belgium",0,"Quarterfinals","July 5",NA,"2014 FIFA Men's World Cup"
"Netherlands",0,"Costa Rica",0,"Quarterfinals","July 5","Netherlandswins 4-3 on penalties","2014 FIFA Men's World Cup"
"Germany",7,"Brazil",1,"Semifinals","July 8",NA,"2014 FIFA Men's World Cup"
"Argentina",0,"Netherlands",0,"Semifinals","July 9","Argentinawins 4-2 on penalties","2014 FIFA Men's World Cup"
"Netherlands",3,"Brazil",0,"Third Place","July 12",NA,"2014 FIFA Men's World Cup"
"Germany",1,"Argentina",0,"Final","July 13","in extra time","2014 FIFA Men's World Cup"
