"","earn","sex","race","hisp","ed","height","age"
"1006",40000,"male","white","no","university or higher",70,41
"1007",45000,"female","white","no","university or higher",66,43
"1008",14000,"male","white","no","high school",66,23
"1010",25000,"female","white","no","university or higher",66,37
"1012",40000,"male","white","no","high school",72,42
"1015",34000,"male","white","no","high school",69,35
"1016",40000,"male","white","no","high school",66,34
"1018",35000,"male","white","no","university or higher",69,28
"1019",12000,"female","white","yes","high school",60,51
"1020",30000,"female","white","no","university or higher",65,43
"1021",23000,"female","white","no","high school",62,40
"1023",20000,"male","white","no","university or higher",67,25
"1024",10000,"female","black","no","high school",68,62
"1030",60000,"female","black","no","university or higher",66,43
"1031",12000,"male","black","no","university or higher",74,41
"1032",25000,"female","white","no","university or higher",65,61
"1033",22000,"female","black","no","university or higher",63,73
"1035",8000,"male","white","no","university or higher",68,25
"1040",18600,"female","white","no","university or higher",65,26
"1041",20000,"female","white","no","university or higher",62,20
"1043",50000,"female","white","no","university or higher",62,40
"1044",27000,"male","white","no","high school",70,42
"1046",18000,"male","white","no","high school",68,20
"1047",17000,"female","white","no","university or higher",67,23
"1048",10000,"female","white","no","high school",64,74
"1051",14000,"male","white","no","university or higher",70,35
"1052",7200,"male","white","no","university or higher",72,66
"1055",33000,"female","white","no","university or higher",63,39
"1056",23000,"male","white","no","high school",66,34
"1057",10000,"female","white","no","high school",65,41
"1058",22000,"male","white","no","high school",61,24
"1059",13000,"female","white","yes","high school",61,19
"1060",33000,"female","white","no","high school",67,31
"1061",36000,"male","white","no","high school",73,36
"1063",10000,"female","black","no","university or higher",71,32
"1064",6000,"female","white","no","high school",64,60
"1066",12000,"female","white","no","high school",67,43
"1067",10000,"female","white","no","high school",62,47
"1068",21000,"female","white","no","high school",67,45
"1069",26000,"male","white","no","high school",69,32
"1070",22000,"female","black","no","high school",66,50
"1071",23000,"female","black","no","university or higher",66,54
"1072",20000,"male","white","no","university or higher",66,24
"1074",10000,"female","white","no","university or higher",66,38
"1075",15000,"female","white","no","high school",64,71
"1076",7000,"male","black","no","university or higher",72,24
"1077",15000,"female","white","no","high school",64,38
"1079",26000,"female","white","no","university or higher",65,34
"1081",10000,"male","white","no","high school",72,31
"1085",27000,"female","white","yes","university or higher",64,41
"1088",28000,"female","white","no","university or higher",64,25
"1090",15000,"female","white","no","high school",67,27
"1091",55000,"male","white","no","university or higher",75,30
"1092",20000,"female","white","yes","university or higher",66,26
"1093",8500,"female","white","no","high school",67,44
"1097",30000,"male","white","no","university or higher",71,30
"1101",20000,"female","white","no","high school",68,31
"1103",22000,"male","white","no","elementary",70,75
"1104",25000,"male","white","no","university or higher",67,26
"1110",16000,"female","white","no","high school",63,49
"1114",10000,"female","black","no","high school",61,39
"1116",15000,"female","black","no","high school",65,28
"1117",28000,"male","white","no","high school",67,46
"1123",31500,"male","white","no","university or higher",65,35
"1124",95000,"male","white","no","university or higher",66,52
"1127",38000,"male","white","no","high school",67,40
"1130",30000,"male","white","no","high school",74,41
"1131",35900,"male","white","no","university or higher",74,42
"1132",12000,"female","white","no","university or higher",66,22
"1136",10000,"female","white","no","university or higher",69,25
"1137",45000,"female","white","no","university or higher",66,44
"1140",40000,"male","white","no","university or higher",74,56
"1142",21500,"male","white","no","high school",72,27
"1143",14000,"male","white","no","high school",66,62
"1144",38000,"male","native american","no","university or higher",67,54
"1146",14000,"male","white","no","high school",66,73
"1147",15000,"female","white","no","high school",65,31
"1152",24000,"female","white","no","university or higher",68,42
"1154",18000,"female","white","no","university or higher",64,63
"1157",14000,"female","white","no","high school",63,20
"1158",10000,"female","white","no","high school",69,28
"1159",9500,"female","white","no","high school",67,32
"1160",11000,"female","white","no","university or higher",63,66
"1161",17000,"male","white","no","high school",67,67
"1162",6000,"female","white","no","university or higher",60,28
"1164",40000,"male","white","no","university or higher",72,41
"1166",25000,"male","white","no","university or higher",67,39
"1169",28000,"female","black","no","university or higher",66,60
"1170",33000,"female","black","no","high school",66,45
"1176",25000,"female","white","no","high school",69,82
"1177",32000,"male","white","no","high school",72,28
"1180",13000,"female","white","no","elementary",64,58
"1181",8000,"male","white","yes","elementary",64,27
"1186",17000,"female","white","no","high school",64,38
"1187",15000,"female","white","no","high school",67,77
"1188",18000,"male","white","no","university or higher",66,32
"1189",12000,"male","white","no","high school",73,24
"1190",7000,"male","white","no","elementary",74,49
"1197",14000,"male","white","no","high school",63,21
"1198",17000,"female","white","no","high school",63,40
"1199",30000,"male","white","no","high school",66,42
"1205",25000,"male","white","no","high school",70,53
"1207",22000,"female","white","yes","high school",66,33
"1208",15000,"female","white","no","high school",63,21
"1211",20000,"female","white","no","university or higher",63,26
"1212",9000,"female","white","no","high school",69,34
"1214",17000,"male","white","no","high school",73,30
"1219",18000,"female","white","no","high school",64,46
"1220",25000,"female","white","no","university or higher",63,42
"1223",20000,"male","black","no","university or higher",70,41
"1224",75000,"female","white","no","university or higher",64,40
"1226",36000,"female","white","no","high school",61,71
"1227",30000,"male","white","no","high school",72,25
"1228",25000,"female","white","no","university or higher",65,78
"1230",60000,"male","white","no","high school",68,66
"1232",35000,"male","white","no","university or higher",74,76
"1233",9000,"male","white","no","university or higher",67,33
"1234",35000,"male","white","no","high school",70,84
"1235",11000,"female","white","no","high school",66,58
"1236",12000,"male","white","no","high school",71,52
"1237",30000,"male","white","no","high school",71,43
"1238",19000,"male","black","no","elementary",71,57
"1240",9000,"male","white","no","high school",74,61
"1241",30000,"male","white","no","university or higher",75,29
"1243",9000,"male","white","no","high school",72,32
"1244",15000,"female","white","yes","university or higher",66,30
"1245",8000,"female","black","no","high school",65,31
"1247",10000,"female","white","no","high school",66,75
"1249",33000,"male","white","no","high school",72,37
"1253",12000,"female","white","yes","high school",60,28
"1254",18000,"female","white","no","university or higher",64,37
"1257",30000,"female","white","no","university or higher",65,61
"1258",12500,"female","white","no","high school",65,32
"1259",10000,"female","black","no","high school",62,36
"1260",8500,"male","black","no","university or higher",68,71
"1263",21000,"male","black","no","university or higher",73,46
"1265",21000,"female","white","no","high school",64,77
"1270",21000,"female","white","no","university or higher",68,25
"1273",22000,"female","white","no","university or higher",71,36
"1275",30000,"male","white","no","university or higher",73,26
"1278",8000,"female","white","no","high school",63,45
"1282",7600,"female","white","no","elementary",67,62
"1290",10000,"female","white","no","high school",63,25
"1291",35000,"male","white","no","high school",73,48
"1293",15000,"female","white","no","university or higher",66,57
"1295",16000,"male","white","no","elementary",68,24
"1297",23000,"male","white","no","university or higher",74,25
"1298",16000,"female","white","no","university or higher",64,27
"1301",6000,"female","white","no","high school",60,49
"1308",28000,"male","native american","no","university or higher",75,34
"1311",15000,"male","white","no","high school",64,35
"1312",15000,"male","white","no","high school",71,25
"1316",25000,"female","white","no","high school",63,30
"1317",15000,"female","white","no","high school",67,26
"1319",40000,"male","white","no","high school",69,44
"1320",30000,"male","white","no","high school",70,51
"1322",35000,"male","white","no","university or higher",74,34
"1323",16000,"female","white","no","university or higher",65,31
"1326",28000,"female","white","no","university or higher",64,40
"1327",20000,"male","white","no","university or higher",68,42
"1328",21000,"male","white","no","university or higher",66,30
"1330",17000,"male","black","no","high school",69,42
"1331",24000,"female","white","no","university or higher",60,50
"1332",25000,"female","white","no","high school",61,75
"1333",40000,"male","white","no","high school",75,46
"1338",8000,"female","white","no","university or higher",64,19
"1340",19000,"female","white","yes","university or higher",63,45
"1343",45000,"female","white","no","university or higher",67,69
"1346",24000,"female","black","no","university or higher",63,40
"1349",33000,"male","white","no","university or higher",66,34
"1350",24000,"female","white","no","university or higher",65,24
"1351",6000,"female","white","no","university or higher",63,23
"1352",90000,"female","white","no","university or higher",66,55
"1354",57000,"female","white","no","university or higher",64,47
"1356",13800,"male","white","no","university or higher",71,54
"1357",30000,"male","white","no","university or higher",71,37
"1358",15000,"male","white","no","high school",72,40
"1359",15000,"female","white","no","university or higher",60,75
"1360",31000,"male","white","no","high school",70,29
"1361",33000,"male","white","no","university or higher",74,40
"1363",30000,"male","white","no","university or higher",68,61
"1364",12000,"male","white","no","high school",74,38
"1366",21000,"male","white","no","high school",68,59
"1368",28000,"female","white","no","university or higher",63,46
"1371",12000,"male","white","no","high school",72,31
"1372",19000,"female","white","no","high school",64,46
"1373",6000,"female","white","no","university or higher",63,35
"1374",5300,"female","white","no","university or higher",66,60
"1376",15000,"female","white","no","university or higher",61,28
"1381",17000,"male","white","no","high school",73,46
"1386",9500,"female","white","no","high school",62,65
"1389",5400,"female","white","no","high school",62,31
"1390",10000,"male","white","no","high school",68,31
"1391",25000,"female","white","no","university or higher",59,83
"1402",35000,"female","white","no","university or higher",68,43
"1404",28000,"female","white","no","university or higher",63,44
"1405",42000,"female","white","no","high school",63,40
"1407",45000,"male","white","no","high school",68,58
"1408",55000,"female","white","no","high school",64,51
"1412",36000,"female","white","no","university or higher",70,30
"1414",25000,"male","white","no","high school",70,31
"1415",19000,"male","white","no","high school",72,28
"1416",38000,"male","white","no","high school",69,50
"1417",15000,"female","white","no","university or higher",63,37
"1419",96000,"female","white","no","university or higher",63,27
"1420",11000,"female","white","no","high school",63,47
"1421",9000,"male","white","no","university or higher",73,34
"1423",50000,"male","white","no","high school",70,51
"1427",6000,"female","white","no","university or higher",65,44
"1429",16500,"female","white","no","university or higher",62,46
"1435",32000,"male","white","no","university or higher",72,40
"1436",30000,"male","white","no","university or higher",73,41
"1437",10000,"female","white","no","university or higher",68,42
"1440",15000,"female","white","no","high school",66,19
"1442",6500,"female","white","no","elementary",60,83
"1443",26000,"female","white","no","university or higher",60,63
"1444",17000,"female","white","no","high school",65,59
"1445",22000,"female","native american","no","university or higher",63,59
"1447",10000,"female","white","no","high school",64,41
"1448",50000,"male","white","no","university or higher",71,58
"1449",20000,"male","white","no","high school",67,35
"1455",16000,"female","white","no","university or higher",65,59
"1457",10000,"female","white","no","high school",66,66
"1458",14000,"female","white","no","university or higher",63,58
"1460",40000,"male","white","no","university or higher",74,34
"1462",25000,"female","white","no","university or higher",68,47
"1463",12000,"female","white","no","high school",65,51
"1464",58000,"female","white","no","university or higher",64,34
"1465",18000,"female","white","no","university or higher",68,26
"1467",21000,"male","white","no","university or higher",72,47
"1468",11000,"male","black","no","high school",66,62
"1470",13000,"female","white","no","high school",64,36
"1472",20000,"female","native american","no","university or higher",60,88
"1473",25000,"male","black","no","high school",72,35
"1477",25000,"male","black","no","university or higher",67,26
"1479",36000,"male","white","no","high school",68,28
"1480",15000,"female","native american","no","university or higher",64,33
"1483",19005,"female","white","no","university or higher",65,34
"1484",62000,"male","white","no","university or higher",70,54
"1486",25000,"male","white","no","high school",70,42
"1487",50000,"male","white","no","high school",66,52
"1490",40000,"male","white","no","high school",66,61
"1491",26000,"male","white","no","university or higher",74,26
"1494",22000,"female","white","no","high school",62,48
"1495",21000,"female","white","no","university or higher",66,39
"1496",6108,"female","white","no","high school",62,65
"1497",30000,"female","black","no","university or higher",65,64
"1501",6000,"female","white","no","high school",63,78
"1503",27000,"male","white","no","university or higher",71,29
"1514",45000,"male","white","no","university or higher",67,40
"1515",18000,"female","white","no","university or higher",61,45
"1516",6000,"female","white","no","university or higher",66,22
"1518",14000,"male","white","no","high school",72,24
"1519",35000,"female","white","no","university or higher",69,24
"1521",15000,"female","white","no","university or higher",64,29
"1522",12000,"female","black","no","high school",63,29
"1524",32000,"male","black","no","university or higher",70,33
"1533",35000,"female","white","no","high school",64,42
"1536",70000,"male","white","no","university or higher",72,48
"1537",21000,"female","white","no","university or higher",67,28
"1538",50000,"male","white","no","high school",69,18
"1539",15000,"male","white","no","high school",71,21
"1544",9000,"female","black","no","elementary",66,35
"1547",10000,"female","black","no","university or higher",63,25
"1551",30000,"male","white","no","high school",71,47
"1552",16000,"male","white","no","university or higher",72,21
"1553",20000,"male","white","no","high school",68,51
"1557",10000,"female","white","no","high school",66,43
"1559",35000,"male","white","no","university or higher",66,63
"1560",7000,"female","white","no","university or higher",65,31
"1564",8000,"male","black","no","university or higher",71,27
"1565",11000,"male","white","no","high school",74,50
"1566",25000,"male","white","no","high school",70,47
"1567",25000,"female","white","no","university or higher",64,45
"1568",30000,"male","white","no","university or higher",69,48
"1571",48000,"female","white","no","university or higher",63,34
"1572",17000,"female","white","no","high school",68,46
"1578",26000,"male","white","no","university or higher",73,24
"1580",10000,"female","white","no","high school",63,61
"1584",60000,"male","white","no","university or higher",71,53
"1585",22000,"female","white","no","university or higher",65,29
"1590",6200,"female","white","no","university or higher",64,83
"1591",24000,"female","white","no","university or higher",65,32
"1592",20000,"male","white","no","university or higher",71,40
"1593",7000,"female","white","no","university or higher",70,30
"1597",30000,"female","black","no","university or higher",68,48
"1598",23000,"female","white","no","university or higher",66,28
"1599",20000,"female","white","no","high school",64,40
"1602",30000,"male","white","no","university or higher",70,41
"1604",12000,"female","white","no","university or higher",64,23
"1609",40000,"male","white","no","high school",71,38
"1610",15000,"female","white","no","university or higher",64,23
"1613",36000,"female","white","no","university or higher",63,45
"1614",10000,"female","white","no","high school",66,53
"1617",13000,"female","white","no","university or higher",68,48
"1620",10000,"female","black","no","high school",62,27
"1621",30000,"male","black","yes","high school",69,37
"1624",23000,"male","white","no","university or higher",64,32
"1625",20000,"male","white","no","university or higher",70,68
"1626",19000,"female","white","no","university or higher",65,82
"1628",20000,"male","black","no","high school",61,66
"1629",28000,"male","black","no","university or higher",64,63
"1630",13000,"female","white","no","high school",65,80
"1631",12000,"male","white","no","high school",64,75
"1633",20000,"male","white","no","high school",69,23
"1637",25000,"male","white","no","high school",74,30
"1639",25000,"female","white","no","university or higher",68,52
"1642",18000,"female","white","no","university or higher",67,40
"1645",6000,"female","white","no","high school",62,68
"1646",16000,"male","white","no","university or higher",72,23
"1647",45000,"male","white","no","university or higher",73,38
"1649",25000,"male","white","no","university or higher",70,69
"1650",12000,"female","white","no","university or higher",64,38
"1654",10000,"female","white","no","high school",63,18
"1656",14000,"male","white","no","high school",71,36
"1657",15000,"female","white","no","high school",64,31
"1659",10000,"female","white","no","high school",60,39
"1663",15000,"female","white","no","university or higher",59,62
"1664",10000,"female","white","no","university or higher",63,64
"1670",10000,"female","white","no","university or higher",64,32
"1676",18000,"male","else","yes","university or higher",66,26
"1678",28000,"male","white","no","university or higher",72,26
"1679",10000,"female","white","no","university or higher",74,22
"1683",12000,"male","white","no","high school",71,21
"1685",19000,"female","white","no","university or higher",68,45
"1687",36000,"male","white","no","university or higher",70,39
"1688",7000,"female","white","no","university or higher",64,59
"1689",35000,"female","white","no","high school",59,34
"1692",40000,"male","white","no","university or higher",68,43
"1693",15000,"male","white","no","university or higher",68,25
"1694",8000,"female","white","no","university or higher",69,43
"1695",25000,"female","white","no","university or higher",69,55
"1697",28000,"male","white","no","university or higher",75,38
"1698",22000,"male","white","no","university or higher",69,35
"1700",21500,"male","black","no","university or higher",72,24
"1703",23000,"male","white","no","university or higher",72,28
"1705",18000,"male","white","no","high school",72,73
"1707",20000,"male","white","no","university or higher",67,71
"1711",16000,"female","white","yes","high school",63,46
"1712",15000,"male","white","no","high school",69,26
"1713",53000,"female","else","yes","university or higher",63,32
"1715",26000,"male","white","no","high school",72,27
"1718",10000,"male","white","no","university or higher",73,59
"1720",43000,"male","white","no","high school",69,51
"1722",17000,"male","asian","no","university or higher",69,33
"1728",50000,"male","white","no","university or higher",73,48
"1730",55000,"female","white","no","university or higher",67,51
"1731",28000,"female","white","no","university or higher",63,41
"1736",18000,"female","white","no","university or higher",65,49
"1737",21000,"male","white","yes","university or higher",72,62
"1739",12000,"female","white","no","high school",67,33
"1740",33000,"female","white","yes","university or higher",65,62
"1742",50000,"male","white","yes","university or higher",72,64
"1743",6000,"female","white","yes","high school",65,74
"1744",16000,"female","white","no","university or higher",64,59
"1745",35000,"male","white","no","high school",68,50
"1746",25000,"female","white","no","high school",68,43
"1748",20000,"male","white","no","university or higher",76,26
"1749",18000,"female","white","no","high school",63,36
"1750",34000,"male","white","no","university or higher",74,78
"1752",25000,"male","white","no","university or higher",68,25
"1755",20000,"male","white","no","university or higher",72,77
"1756",33000,"male","white","no","high school",68,69
"1761",20000,"female","white","no","elementary",60,77
"1762",40000,"male","white","no","university or higher",72,33
"1764",14000,"female","white","no","university or higher",64,40
"1765",12000,"female","white","no","high school",68,48
"1766",25000,"female","white","no","high school",61,31
"1768",70000,"female","white","no","high school",67,72
"1769",38000,"female","white","no","university or higher",67,55
"1770",14000,"female","white","no","high school",63,28
"1773",15000,"female","white","no","university or higher",60,37
"1774",17000,"male","white","no","university or higher",74,31
"1776",60000,"male","white","no","university or higher",69,66
"1777",15000,"female","white","no","university or higher",67,69
"1778",25000,"male","white","no","university or higher",65,86
"1779",18000,"male","white","yes","high school",62,63
"1782",70000,"male","white","no","university or higher",72,47
"1784",30000,"female","white","no","university or higher",65,59
"1786",8000,"female","white","no","high school",62,51
"1787",30000,"male","white","no","university or higher",71,34
"1789",27000,"male","white","no","university or higher",71,32
"1790",47000,"male","white","no","university or higher",70,43
"1791",12000,"male","white","yes","high school",67,22
"1793",24000,"female","white","no","university or higher",62,34
"1794",13000,"female","white","yes","high school",63,35
"1795",80000,"female","white","no","university or higher",61,37
"1798",25000,"female","white","no","high school",63,60
"1799",28000,"male","white","no","high school",66,44
"1800",8000,"female","white","no","university or higher",64,20
"1801",10000,"female","white","no","university or higher",66,51
"1802",9000,"female","white","no","university or higher",68,41
"1803",20000,"female","white","no","high school",60,37
"1804",12000,"male","white","no","high school",65,71
"1805",15000,"female","white","no","university or higher",65,66
"1806",20000,"female","white","no","university or higher",61,36
"1809",28000,"female","white","no","university or higher",64,36
"1811",35000,"male","white","no","university or higher",69,74
"1813",26000,"female","white","yes","university or higher",66,32
"1814",27000,"female","white","no","university or higher",67,34
"1815",14000,"female","white","no","high school",68,30
"1816",32000,"male","white","no","university or higher",66,33
"1817",10000,"female","white","no","university or higher",69,32
"1819",7000,"male","white","no","university or higher",69,30
"1820",28000,"male","white","no","university or higher",71,46
"1822",60000,"male","white","no","university or higher",74,54
"1825",12000,"male","white","no","elementary",69,62
"1831",15000,"female","white","no","university or higher",75,75
"1837",15000,"male","white","no","high school",72,63
"1838",26000,"female","white","no","university or higher",64,32
"1841",26000,"male","white","yes","university or higher",72,25
"1842",18720,"female","black","no","high school",63,36
"1845",12000,"female","black","no","high school",64,73
"1846",80000,"male","white","no","university or higher",70,39
"1847",48000,"female","white","no","university or higher",66,39
"1849",18000,"male","asian","no","university or higher",62,27
"1852",85000,"male","white","no","university or higher",70,65
"1853",35000,"female","black","no","high school",64,47
"1855",9000,"female","white","yes","university or higher",64,22
"1856",30000,"female","white","no","university or higher",67,27
"1857",80000,"male","white","no","university or higher",72,58
"1858",35000,"female","white","no","university or higher",65,32
"1859",12000,"female","white","no","university or higher",63,34
"1863",24000,"female","white","no","university or higher",66,69
"1866",15000,"male","white","no","university or higher",70,30
"1869",6000,"female","white","no","high school",62,65
"1872",28000,"female","white","no","university or higher",64,48
"1873",9000,"female","white","no","high school",70,35
"1874",60000,"male","white","no","university or higher",74,52
"1879",7000,"female","white","no","university or higher",66,43
"1882",21000,"female","white","no","high school",62,31
"1883",44000,"male","white","no","high school",69,58
"1885",29000,"male","black","no","university or higher",68,36
"1887",12000,"male","black","no","university or higher",64,22
"1890",20000,"male","white","yes","high school",72,28
"1893",37000,"male","white","no","university or higher",74,25
"1894",8000,"male","asian","no","high school",66,60
"1895",35000,"male","asian","yes","university or higher",68,30
"1897",25000,"male","asian","no","university or higher",62,37
"1898",18000,"female","white","no","high school",71,29
"1899",30000,"female","black","no","university or higher",63,36
"1902",20000,"male","white","no","university or higher",69,69
"1904",12000,"male","white","yes","elementary",71,40
"1906",10000,"female","white","no","high school",66,68
"1907",18000,"male","white","no","university or higher",72,48
"1911",20000,"male","black","no","high school",72,26
"1912",31000,"female","white","no","university or higher",68,43
"1914",6000,"male","white","yes","high school",64,36
"1917",12000,"male","white","no","university or higher",70,40
"1920",13000,"female","white","no","university or higher",66,33
"1921",26000,"female","white","no","university or higher",67,34
"1922",15000,"female","black","no","high school",68,31
"1923",30000,"female","white","no","university or higher",64,28
"1926",53000,"female","white","no","university or higher",71,26
"1930",25000,"male","white","no","university or higher",71,29
"1932",21000,"female","white","no","university or higher",64,27
"1935",17000,"female","white","no","university or higher",70,27
"1937",12000,"female","white","no","university or higher",64,37
"1938",42000,"male","white","yes","university or higher",70,44
"1939",21000,"male","white","no","high school",74,33
"1940",6000,"female","white","yes","high school",63,65
"1942",25000,"male","white","no","university or higher",74,24
"1946",20000,"male","white","no","university or higher",69,58
"1950",52000,"male","white","no","university or higher",60,50
"1951",60000,"female","white","no","high school",64,43
"1952",15000,"female","white","no","university or higher",64,41
"1954",90000,"male","white","no","university or higher",72,50
"1959",26000,"female","white","no","university or higher",61,65
"1962",16000,"female","white","no","high school",67,61
"1963",24000,"female","white","yes","high school",65,27
"1965",15000,"male","white","yes","university or higher",68,28
"1967",42000,"male","white","no","university or higher",74,43
"1970",10000,"female","white","no","high school",65,43
"1971",17000,"male","white","yes","university or higher",71,36
"1972",30000,"female","white","no","university or higher",64,34
"1974",32000,"female","white","no","university or higher",69,37
"1975",36000,"female","white","yes","university or higher",64,34
"1976",10000,"male","white","yes","university or higher",72,20
"1977",20000,"female","white","no","university or higher",63,29
"1979",24000,"female","white","no","high school",65,29
"1980",17000,"male","white","no","high school",72,32
"1981",23000,"female","white","no","university or higher",65,48
"1982",25000,"female","white","no","high school",64,33
"1983",50000,"male","white","no","high school",71,50
"1985",20000,"female","white","no","high school",62,30
"1986",30000,"female","white","no","university or higher",66,33
"1987",7000,"female","white","no","high school",64,39
"1988",7000,"male","white","no","high school",67,78
"1989",30000,"male","white","no","high school",68,32
"1991",20000,"female","white","no","university or higher",66,43
"1992",40000,"female","white","no","university or higher",66,59
"1993",10000,"male","white","no","high school",67,77
"1994",16000,"male","white","no","high school",66,37
"1995",11000,"female","white","no","high school",63,51
"1996",16000,"female","white","no","university or higher",68,43
"1997",18000,"male","white","no","high school",70,27
"1999",12000,"female","white","no","university or higher",63,26
"2001",60000,"male","white","no","high school",72,45
"2002",43000,"male","white","no","university or higher",75,40
"2003",31000,"female","white","no","university or higher",62,39
"2004",50000,"female","white","no","university or higher",68,39
"2005",27000,"female","white","no","university or higher",68,29
"2006",30000,"male","white","no","university or higher",70,56
"2007",12000,"male","black","no","university or higher",73,21
"2011",20000,"female","white","no","university or higher",62,30
"2013",15000,"female","black","no","high school",60,76
"2014",25000,"female","asian","no","university or higher",64,37
"2021",55000,"male","white","no","university or higher",69,71
"2022",58000,"male","white","no","university or higher",70,53
"2023",10000,"female","white","no","university or higher",70,36
"2024",19000,"male","white","no","high school",72,29
"2025",15000,"female","white","no","university or higher",61,82
"2026",8000,"female","white","no","high school",64,33
"2027",60000,"male","white","no","high school",72,50
"2029",6000,"male","white","no","high school",68,27
